Fecha,Serie1,Serie2,Serie3,Serie4,Serie5,Serie6
2019-09-02,20,12,10,,,
2019-09-04,20,12,6,,,
2019-09-07,23,12,10,,,
2019-09-09,21,13,10,,,
2019-09-23,26,12,10,6,,
2019-09-25,26,14,12,8,,
2019-09-29,26,16,12,10,,
2019-09-30,29,18,14,10,,
2019-10-02,29,20,12,10,,
2019-10-04,29,20,14,10,,
2019-10-07,32,20,12,12,12,12
2019-10-10,32,20,14,14,12,12
2019-10-12,32,20,20,14,14,16
2019-10-14,35,20,18,16,12,12
2019-10-16,35,24,20,16,14,14
2019-10-19,35,20,18,16,12,16
2019-10-21,38,22,20,16,12,14
2019-10-24,38,20,20,18,16,14
2019-10-25,38,24,18,14,14,16
2019-10-28,41,22,18,16,16,14
